stage,experiment,kernel,degree,C,gamma,class_weight,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,test_inference_ms_per_image,support_vectors,train_time_sec,note,test_macro_precision,test_macro_recall,test_weighted_f1,val_macro_precision,val_macro_recall,val_weighted_f1,val_inference_ms_per_image
Phase 2-New,TN2 - Linear Tune C=1.0,linear,,1.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.3799588000401855,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4917185678128695
Phase 2-New,TN2 - Linear Tune C=5.0,linear,,5.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.3658553001005203,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4406527913609537
Phase 2-New,TN2 - Linear Tune C=10.0,linear,,10.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.218418200034648,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.404532524406711
Phase 2-New,TN2 - Linear Tune C=25.0,linear,,25.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.2349155000410974,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4067384709934116
Phase 2-New,TN2 - Linear Tune C=50.0,linear,,50.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.2569108000025153,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.452584466128384
Phase 2-New,TN2 - Linear Tune C=100.0,linear,,100.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.329887399915606,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4292065535097844
Phase 2-New,TN2 - Linear Tune C=200.0,linear,,200.0,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.237514700042084,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4042089807968225
Phase 2-New,TN3 - class_weight=None,linear,,0.1,N/A,None,0.9672330097087378,0.9730035022662098,,,,4514.0,2.393017099937424,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4872121360736168
Phase 2-New,TN3 - class_weight=balanced,linear,,0.1,N/A,balanced,0.9672330097087378,0.9730035022662098,,,,4514.0,2.3678050998132676,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4965366504326896
Phase 2-New,TN3 - class_weight=custom_dict,linear,,0.1,N/A,custom_dict,0.9672330097087378,0.9730035022662098,,,,4514.0,2.386483399895951,Validation-only experiment,,,,0.9852882200430461,0.9651999645159731,0.967170726855738,1.4326354368359249
Phase 2-New,Best Tuned SVM Final,linear,,0.1,N/A,None,0.9672330097087378,0.9730035022662098,0.9612220916568742,0.9629120857089248,1.5194648649701115,4514.0,,Final test evaluated once only after validation-based selection,0.9751468225483677,0.9561768657793877,0.9609361966020151,,,,
