stage,experiment,kernel,degree,C,gamma,class_weight,train_time_sec,support_vectors,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_inference_ms_per_image
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.001,rbf,,1.0,0.001,balanced,9.264594600070268,5718,0.9453883495145631,0.9529308146274648,0.9278889717415625,0.9375610633475021,0.9445318561030369,2.921990291283294
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.005,rbf,,1.0,0.005,balanced,22.992455000057817,6990,0.22451456310679613,0.48751517474921735,0.1775307542007684,0.2183414970241387,0.2555644897619078,3.637506796365821
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.01,rbf,,1.0,0.01,balanced,22.790487800026312,7034,0.04854368932038835,0.0859156768045947,0.027481119285004577,0.01297679635389006,0.022847903892109632,3.6260697816032916
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.05,rbf,,1.0,0.05,balanced,22.813085000030696,7035,0.03398058252427184,0.0007229911175376988,0.02127659574468085,0.0013984616921386475,0.0022334655180272574,3.68663422323682
Phase 2-New,TN2 - Grid Search rbf C=1.0 gamma=0.1,rbf,,1.0,0.1,balanced,22.972804100019857,7035,0.03398058252427184,0.0007229911175376988,0.02127659574468085,0.0013984616921386475,0.0022334655180272574,3.6516856796049413
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=scale,rbf,,5.0,scale,balanced,5.778691899962723,5337,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.7181470873471785
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=auto,rbf,,5.0,auto,balanced,16.02821909985505,6193,0.9271844660194175,0.9569897708827532,0.8484487789979803,0.8863162666911112,0.924912692415105,3.1652066746988847
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.0005,rbf,,5.0,0.0005,balanced,5.199518899898976,5261,0.9684466019417476,0.9645946179386873,0.9529003473862059,0.9580609921927967,0.9672395882961534,2.7276406554026007
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.001,rbf,,5.0,0.001,balanced,9.160162599990144,5671,0.9587378640776699,0.9637044579356044,0.932253900093135,0.9453465214700826,0.9574663213886135,2.9356967232832054
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.005,rbf,,5.0,0.005,balanced,21.870325699914247,6981,0.35315533980582525,0.5102227606164614,0.1925709969877216,0.23959870099715422,0.32886689951378695,3.452146966100752
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.01,rbf,,5.0,0.01,balanced,21.854237799998373,7034,0.15655339805825244,0.1304982225287844,0.036022103774185174,0.030814278487156666,0.07716976850114245,3.718628762267277
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.05,rbf,,5.0,0.05,balanced,30.733205399941653,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.6584913834603956
Phase 2-New,TN2 - Grid Search rbf C=5.0 gamma=0.1,rbf,,5.0,0.1,balanced,23.85400060005486,7035,0.12985436893203883,0.002762858913447635,0.02127659574468085,0.004890646068057682,0.029848372665366604,3.6419166262754357
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=scale,rbf,,10.0,scale,balanced,5.800724499858916,5331,0.9672330097087378,0.964425553534719,0.9524378126961041,0.9577360704863276,0.9660700475297648,2.7712311892932986
Phase 2-New,TN2 - Grid Search rbf C=10.0 gamma=auto,rbf,,10.0,auto,balanced,16.589876800077036,6193,0.9271844660194175,0.9569897708827532,0.8484487789979803,0.8863162666911112,0.924912692415105,3.207595267014361
